6,7,7,3794.53,45939
12,12,12,3780.39,45939
17,18,18,3766.36,45939
23,22,22,3752.33,45939
28,24,24,3738.38,45939
34,27,27,3724.91,45939
39,29,30,3711.92,45939
45,31,31,3698.99,45939
50,33,33,3686.12,45939
55,32,33,3673.30,45939
61,31,31,3660.53,45921
66,40,41,3674.97,45697
71,49,50,3727.75,45697
76,54,54,3768.32,45440
81,55,55,3821.91,45441
86,51,51,3886.86,44927
91,47,48,3926.78,44929
97,45,45,4000.81,44929
102,42,43,4001.30,44929
107,39,39,4095.21,44929
114,37,38,4132.02,44929
120,35,35,4190.47,43905
125,35,35,4243.72,43905
131,44,44,4314.04,43905
137,46,46,4353.13,43905
142,41,41,4426.36,43905
148,37,37,4454.49,43905
153,34,34,4534.71,43905
158,33,32,4561.07,43905
164,31,31,4635.38,43905
169,29,29,4661.73,43905
175,28,28,4750.06,41857
180,30,30,4737.65,41857
185,42,42,4818.98,41857
190,52,52,4822.65,41857
195,61,61,4893.55,41857
200,64,64,4915.46,41857
206,62,62,4982.08,41857
211,59,59,5009.23,41857
217,57,57,5080.36,41857
223,54,54,5114.05,41857
229,51,51,5197.66,41857
235,51,51,5206.30,41857
241,49,49,5278.19,41857
246,48,48,5293.81,41857
252,57,57,5379.32,41857
257,63,63,5391.64,41857
263,66,66,5461.99,41857
268,64,64,5491.89,41857
273,59,59,5565.63,41857
279,56,56,5588.96,41857
284,53,53,5635.01,41857
289,49,49,5689.45,37745
294,48,48,5723.80,37761
299,45,45,5786.65,37761
304,45,45,5807.44,37761
310,47,47,5874.33,37761
315,56,56,5884.79,37761
321,62,62,5983.51,37761
327,69,70,6000.01,37761
332,67,67,6094.57,37761
338,60,61,6119.32,37761
345,57,57,6198.57,37761
350,53,53,6224.02,37761
356,51,51,6303.27,37761
362,50,50,6309.61,37761
367,47,47,6327.12,37761
373,47,47,6424.50,37761
378,56,56,6444.19,37761
383,65,66,6515.87,37761
388,70,70,6537.26,37761
394,73,74,6581.28,37761
399,67,67,6663.01,37761
404,63,63,6646.36,37761
412,59,59,6698.65,37761
417,55,55,6774.28,37761
423,53,53,6793.64,37760
429,52,52,6879.51,37761
434,49,49,6893.50,37761
440,55,55,6973.89,37761
446,61,61,6986.05,37761
454,66,66,7087.10,37761
460,60,61,7105.95,37761
468,57,57,7221.87,37761
474,52,52,7233.01,37761
480,49,50,7317.41,37761
485,49,49,7355.54,37761
490,48,48,7373.04,37761
496,48,48,7463.75,37761
501,56,56,7454.36,37761
508,62,62,7546.54,37761
513,71,71,7532.15,37760
519,71,71,7565.65,37760
524,65,66,7650.26,33664
530,62,62,7628.51,33664
536,59,59,7714.15,33664
542,57,58,7722.91,33664
547,56,56,7736.50,33664
553,53,54,7795.82,33664
559,53,53,7806.82,33664
565,56,57,7877.62,33664
570,65,66,7900.21,33664
576,64,65,7969.37,33664
583,59,59,8013.79,33664
589,57,58,8091.92,33664
594,56,57,8134.78,33664
599,55,55,8155.27,33664
605,54,55,8250.39,33664
610,53,54,8240.77,33664
617,51,52,8315.58,33664
622,59,60,8324.80,33664
627,68,69,8352.49,33664
632,72,73,8421.24,33665
637,70,71,8425.90,33665
644,65,65,8503.27,33665
650,59,60,8503.21,33665
657,53,54,8574.04,33665
663,51,52,8575.26,33665
669,49,49,8622.06,33664
674,44,45,8676.21,33664
680,48,48,8712.46,33664
685,53,53,8813.77,33664
691,61,62,8811.80,33664
696,69,69,8852.17,33664
702,63,63,8926.12,33664
707,61,62,8932.50,33664
712,61,61,9011.40,33664
719,59,60,9005.40,33664
725,57,57,9109.72,33664
730,57,57,9097.54,33663
735,57,57,9165.94,33663
741,58,58,9200.76,33663
747,64,64,9241.65,33663
755,72,72,9340.15,25439
761,82,82,9355.39,25471
768,77,77,9397.14,25471
774,69,69,9474.08,25471
779,65,65,9457.29,25471
785,61,61,9520.61,25471
791,57,58,9570.73,25471
796,54,54,9591.87,25471
803,54,54,9691.56,25471
808,57,57,9669.78,25469
815,64,64,9749.80,25469
820,69,69,9768.30,25469
825,67,67,9784.12,25469
832,62,62,9869.33,25469
837,61,61,9866.17,25469
842,61,61,9870.83,45935
848,61,61,9845.03,45935
854,59,59,9816.05,45935
860,59,60,9787.29,45935
866,58,58,9758.84,45935
872,67,67,9730.71,45935
878,79,79,9719.23,45935
884,83,84,9716.14,45935
890,81,81,9713.17,45931
895,77,77,9710.16,45931
901,72,72,9706.98,45931
